icao,iata,name,city,country,lat,lon,airport_type
US-12709,,Stuhlmiller Field,Alliance,US,42.156504,-102.881581,small_airport
US-1271,,Taylor Homestead Airport,Somers,US,48.092824,-114.157961,small_airport
US-12710,,Walker Family Farm Airport,Mountain Park,US,34.719514,-98.923333,small_airport
US-12711,,Bearhawks Den Airport,Carthage,US,36.254401,-85.969525,small_airport
US-12712,,5 Springs Airport,Lovell,US,44.774602,-108.168127,small_airport
US-12713,,Grieser Airport,Wauseon,US,41.543207,-84.082748,small_airport
US-12714,,V Bar Airstrip,Fairfield,US,31.759515,-96.054536,small_airport
US-12715,,UCHealth Longs Peak Helipad,Longmont,US,40.16247,-105.05928,heliport
US-12716,,Dyer Chevrolet Lake Wales Heliport,Lake Wales,US,27.950006,-81.620589,heliport
US-12717,,Kevin Lee Berry Field,Rocksprings,US,29.892714,-100.016735,small_airport
US-12718,,Lucky Dog Airport,Dodge City,US,37.793055,-100.008472,small_airport
US-12719,,Joyce Binns Memorial Airport,Blissfield,US,41.781725,-83.864313,small_airport
US-1272,,Prairie Ridge Airport,Stratford,US,34.7925,-96.908333,small_airport
US-12720,,HP Field,Graham,US,37.261113,-87.302993,small_airport
US-12721,,Lindberg Private Airport,Carmen,US,45.278489,-113.901265,small_airport
US-12722,,Christus Mother Frances Athens Heliport,Athens,US,32.173182,-95.843474,heliport
US-12723,,Bobs Seaplane Base,Ashland,US,46.62507,-90.81763,seaplane_base
US-12724,,Flying K Ranch Airport,Ledbetter,US,30.068495,-96.81187,small_airport
US-12725,,Lehigh Valley Hospital Cedar Crest Ground Level Heliport,Allentown,US,40.563386,-75.51913,heliport
US-12726,,ThedaCare Medical Center Heliport,Shawano,US,44.759985,-88.605106,heliport
US-12727,,"US Border Patrol, Eire Station Heliport",Fairview,US,42.011478,-80.225655,heliport
US-12728,,Stone Bay Marine Corps Station Heliport,Dixon,US,34.584057,-77.453163,heliport
US-12729,,NSA Crane Heliport,Crane,US,38.869365,-86.83581,heliport
US-1273,,St Lukes Monroe Heliport,Stroudsburg,US,40.997189,-75.26095,heliport
US-12730,,Dog Run Airport,Mondovi,US,44.649797,-91.66945,small_airport
US-12731,,IDOC-Menard Heliport,Kaskaskia,US,37.911926,-89.837817,heliport
US-12732,,Gillespie Seaplane Base,Crosslake,US,46.665278,-94.125,seaplane_base
US-12733,,Little Airport,Summerville,US,34.402607,-85.286744,small_airport
US-12734,,AdventHealth Parker Medical Center Heliport,Parker,US,39.547222,-104.769167,heliport
US-12735,,Billings Limited Army Air Support Facility Heliport,Billings,US,45.809003,-108.577019,heliport
US-12736,,Blu Skyz Airport,Minot,US,48.136942,-101.157566,small_airport
US-12737,,III Corps HQ Heliport,Fort Hood,US,31.13506,-97.772328,heliport
US-12738,,"E.W. ""Cottton"" Woods Memorial Airport",Columbia,US,39.003992,-92.296379,closed
US-12739,,Umatilla AAF,Hermiston,US,45.803394,-119.395912,closed
US-1274,,Ottertail Lake Airport,Three Forks,US,45.818929,-111.695886,small_airport
US-12740,,BAKER'S ACRES AIRSTRIP,,US,42.496299,-89.601788,small_airport
US-12741,,Island Bend Farms Airport,Bath Springs,US,35.419556,-88.015567,small_airport
US-12742,,The Lofts at Gloucesters Heliport,Gloucester Township,US,39.791353,-75.047614,heliport
US-12743,,Garoutte Ranch Airport,Reed Point,US,45.656014,-109.411263,small_airport
US-12744,,Desoto Medical Center Heliport,Mansfield,US,32.036161,-93.707706,heliport
US-12745,,Peak 7 Ranch Airport,Gainesville,US,33.544076,-97.031587,small_airport
US-12746,,Fountain Lake Seaplane Base,Woodland,US,45.0348,-93.8916,seaplane_base
US-12747,,Oschner Saint Martin Hospital Heliport,Breaux Bridge,US,30.283833,-91.889694,heliport
US-12748,,Berry Pond Seaplane Base,Moultonborough,US,43.759164,-71.393967,seaplane_base
US-12749,,Ortman Landing Strip,Canistota,US,43.590175,-97.297436,closed
US-1275,,Mirror Lake Seaplane Base,Tuftonboro,US,43.621666,-71.263889,seaplane_base
US-12750,,Maas Field,Tilleda,US,44.81933,-88.90847,closed
US-12751,,Aspirus Keweenaw Hospital Heliport,Laurium,US,47.239439,-88.442262,heliport
US-12752,,Tailwheel Lane Airport,Circleville,US,39.646682,-82.848861,small_airport
US-12753,,Rivet Ranch Airport,Dublin,US,31.988565,-98.223067,small_airport
US-12754,,Fill or Kill Airport,Walnut Springs,US,32.003172,-97.724304,small_airport
US-12755,,Wright Airport,San Angelo,US,31.138124,-100.274885,small_airport
US-12756,,Plane & Fancy Airport,Fort McKavett,US,30.973876,-100.138684,small_airport
US-12757,,Christus Good Shepherd Henderson Heliport,Henderson,US,32.131111,-94.781389,heliport
US-12758,,Paraborne Ultralight Flight Park,Kissimmee,US,28.13983,-81.38583,closed
US-12759,,Lake Ozark Helicopters Heliport,Lake Ozark,US,38.19055,-92.644115,heliport
US-1276,,Lightfoot Farms Airport,Vesta,US,44.484683,-95.509194,small_airport
US-12760,,Kingsville Naval Outlying Landing Field No. 56,Kingsville,US,27.4702,-97.860804,closed
US-12761,,Little Goose Lock and Dam Helipad,Starbuck,US,46.583043,-118.026471,heliport
US-12762,,Celilo Converter Station Heliport,The Dalles,US,45.59505,-121.116495,heliport
US-12763,,Mandyland Airport,Floresville,US,28.989444,-98.305278,small_airport
US-12764,,Stirling Farms Airport,Leeds,US,37.230292,-113.351146,small_airport
US-12765,,Abrazo Buckeye Hospital Heliport,Buckeye,US,33.458289,-112.511497,heliport
US-12766,,Riverside Smithfield Hospital Heliport,Smithfield,US,36.937019,-76.588594,heliport
US-12767,,Kingsville Naval Outlying Landing Field 1-B,Kingsville,US,27.611146,-97.477226,closed
US-12768,,[Duplicate] Kingsville Naval Outlying Landing Field Number 33,Kingsville,US,27.775114,-97.689486,closed
US-12769,,J P Reilly Airport,Friendsville,US,41.902728,-75.989276,small_airport
US-1277,,Dungan Airport,Connersville,US,39.719401,-85.269278,small_airport
US-12770,,Bryant Airport,Madras,US,44.670278,-121.195417,small_airport
US-12771,,Edwards AFB South Base,,US,34.895364,-117.867336,small_airport
US-12772,,Cottonwood Ranch Airport,McLaughlin,US,45.786804,-101.047424,closed
US-12773,,Rabbit Creek Airport,Anchorage,US,61.07977,-149.827445,closed
US-12774,,Palisades NOLF,Newport Beach,US,33.641111,-117.880833,closed
US-12775,,Skyfall Airport,Scottsville,US,36.6775,-86.12875,small_airport
US-12776,,Stiner Cove Seaplane Base,Sharps Chapel,US,36.393485,-83.839662,seaplane_base
US-12777,,Jeff Isl Airport,Lafayette,US,29.967511,-91.984269,small_airport
US-12778,,Caddoa Creek Airport,Caddoa,US,38.05787,-102.926846,small_airport
US-12779,,Coastal Seaplanes Virginia Beach Seaplane Base,Virginia Beach,US,36.898821,-76.032274,seaplane_base
US-1278,,Foote Farm Association RLA Heliport,Cornwall,US,43.989494,-73.239858,heliport
US-12780,,Talus Ranch Airport,Odessa,US,47.372868,-118.831924,small_airport
US-12781,,Chumchal Farms Airport,Wharton,US,29.386439,-96.122632,small_airport
US-12782,,Mako’s RC Jet Club Field,Homestead,US,25.53685,-80.559546,closed
US-12783,XFT,Big Pine Sands STOLGround,"Big Pine Key, Florida",US,24.723717,-81.387856,small_airport
US-12784,,Holley Landing Strip,Florida City,US,25.419711,-80.499744,closed
US-12785,,Bradley Strip,Homestead,US,25.416931,-80.340958,closed
US-12787,,Alliance Auxiliary Field,Marianna,US,30.599722,-85.11,closed
US-12788,,Bushnell Army Airfield,Bushnell,US,28.6825,-82.09,closed
US-1279,,West Street Property Heliport,Cornwall,US,43.987683,-73.25274,heliport
US-12790,,Harvley Rod STOLPort,Everglades,US,25.388542,-80.68192,closed
US-12792,,Hercton Port,Homestead,US,25.497535,-80.490453,closed
